id,kode,nama_bahan,sumber,air_gram,energi_kal,protein_gram,lemak_gram,karbohidrat_gram,serat_gram,abu_gram,kalsium_mg,fosfor_mg,zatbesi_mg,natrium_mg,kalium_mg,tembaga_mg,seng_mg,retinol_mcg,bkaroten_mcg,karotentotal_mcg,thiamin_mg,riboflavin_mg,niasin_mg,vitc_mg,bdd,jenis_pangan,satuan,gambar
1,GP053,abon haruwan,KZGMI2001,11.6,513,23.7,37,21.3,0,6.4,25,25,0.5,61,15,0,0.2,0,0,0,0,0,0,0,100,ikan kerang udang,olahan/produk,https://img-global.cpcdn.com/recipes/cbf330fbd1ba6316/1200x630cq70/photo.jpg
2,GP054,abon ikan,KZGMI2001,6.4,435,27.2,20.2,36.1,0,10.1,0,0,0,0,0,0,0,0,0,0,0,0.8,24.3,0,100,ikan kerang udang,olahan/produk,tidak ada
3,GP001,bekicot dendeng mentah,KZGPI 1990,6.7,441,48.7,20.3,15.8,0,8.4,692,523,16.6,0,0,0,0,6,0,1408,0.56,0,0,69,100,ikan kerang udang,olahan/produk,tidak ada
4,GP002,belut goreng,KZGPI 1990,11.2,417,25.9,19.4,32,0,11.5,840,872,4.9,71,217.7,0.3,1.8,0,0,0,0,0.2,10.5,0,0,ikan kerang udang,olahan/produk,https://asset.kompas.com/crops/EIwKgK9ZA21scjpbrA9zMJehUIU=/100x67:900x600/750x500/data/photo/2021/03/23/6059483f259e2.jpeg
5,GR002,belut laut segar,KZGPI- 1990,79.5,93,12.8,1.5,6.1,0,4.1,60,199,3,33,175.9,0.1,1,51,3,71,0.06,0,2.7,0,0,ikan kerang udang,single,tidak adahttps://cdn0-production-images-kly.akamaized.net/dzEIf_Zb-p6ktRAywNdWHoTH5Wg=/1200x900/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/2760114/original/080217400_1553484954-Cara_budidaya_belut.jpg
6,GR001,belut segar,KZGMI-2001,81.5,70,14.6,0.8,1,0,2.1,49,155,1.5,55,169,0.2,1.2,0,0,0,0.22,0.12,7.7,0,0,ikan kerang udang,single,https://cdn0-production-images-kly.akamaized.net/dzEIf_Zb-p6ktRAywNdWHoTH5Wg=/1200x900/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/2760114/original/080217400_1553484954-Cara_budidaya_belut.jpg
7,GP055,betok wadi masakan,KZGMI2001,69.2,145,16.3,7,4.1,0,3.4,405,523,1.8,69,203,1,1.3,0,0,0,0.22,0,0,0,0,ikan kerang udang,olahan/produk,https://images.tokopedia.net/img/cache/700/VqbcmM/2021/11/29/26184a0a-29ed-48dc-9c82-ca5e70c66b39.jpg
8,GP056,bou ninahu ndamate masakan,KZGMI2001,79.5,79,6.3,1,1.1,0,2.1,0,0,0,67,0,0,0,691,0,0,0.1,0,0.1,0,0,ikan kerang udang,olahan/produk,tidak ada
9,GP057,bouiki ninahu nggaluku masakan,KZGMI2001,73.9,94,7.8,2.2,10.8,0,5.3,0,0,0,58,179.4,0,1.5,0,0,0,0.5,0.03,2.4,0,0,ikan kerang udang,olahan/produk,tidak ada
10,GP058,cakalang asar (asap),KZGMI2001,64.3,155,20.1,3.8,10.2,0,1.6,20,240,2.1,90,390,0.3,0.1,86,0,0,0,0.7,0.2,0,0,ikan kerang udang,olahan/produk,https://indonesiakaya.com/wp-content/uploads/2020/10/Ikan_Asar_yang_sudah_matang_dan_siap_untuk_disajikan_atau_diolah_lagi_.jpg
11,GR003,cumi-cumi segar,KZGPI- 1990,82.2,75,16.1,0.7,0.1,0,0.9,32,200,1.8,37,204.1,1.6,1.3,0,20,0,0.08,0,2.5,0,0,ikan kerang udang,single,https://www.malang-guidance.com/wp-content/uploads/2018/02/Supplier-Cumi-Segar-Malang.jpg
12,GP003,cumicumi goreng,KZGPI 1990,54.2,265,40.6,10.1,0,0,3.1,62,270,2.7,86,81.9,0,0,0,56,0,0.09,0,6.3,0,0,ikan kerang udang,olahan/produk,https://i0.wp.com/resepmasakandapurarie.com/wp-content/uploads/2014/09/Resep-Cumi-Goreng-Tepung-Crispy-.jpg
13,GP059,dendeng belut goreng masakan,KZGPI 1990,8.2,382,55.7,14.1,8,0,14,1069,654,15.4,0,0,0,0,28,0,1480,0.48,0,0,0,0,ikan kerang udang,olahan/produk,https://selerasa.com/wp-content/uploads/2015/11/images_dendeng-belut.JPG
14,GP060,dendeng mujahir goreng masakan,KZGPI 1990,6.5,598,74.3,26.9,9.2,0,13.1,1957,1447,7.4,0,0,0,0,18,0,25,0.19,0,0,0,0,ikan kerang udang,olahan/produk,https://img-global.cpcdn.com/recipes/c49ebd05c391ae54/680x482cq70/dendeng-mujair-foto-resep-utama.jpg
15,GP061,fillet o-fish,KZGMS 1993,51,270,12.3,15.9,19.3,0.2,1.5,239,272,1.8,439,0,0,0,34,0,580,0.59,0,0,0,0,ikan kerang udang,olahan/produk,https://www.recipetineats.com/wp-content/uploads/2018/08/Homemade-Filet-O-Fish_3.jpg
16,GP062,gete kuah asam masakan,KZGMI2001,80.1,75,8.2,2,6,0,3.8,1620,880,0.8,260,150,0.1,1.5,0,0,0,0,0,0.1,0,0,ikan kerang udang,olahan/produk,https://nilaigizi.com/assets/images/produk/produk_1535785356.jpg
17,GP063,gulai asam keueung masakan,KZGMI2001,86,52,10,0.5,1.8,0,1.7,62,102,0.3,332,141,0,1,0,0,0,0.18,0.34,0,0,0,ikan kerang udang,olahan/produk,https://img-global.cpcdn.com/recipes/8f989c17e5803c3b/680x482cq70/gulai-asam-keueng-asam-pedas-tongkol-seafoodfestival-foto-resep-utama.jpg
18,GP064,gulai ikan masakan,KZGMI2001,72.1,148,10,9.8,5,0,3.1,103,82,0.7,525,256,0.1,0.9,0,0,0,0.26,0.02,0,0,0,ikan kerang udang,olahan/produk,https://sweetrip.id/wp-content/uploads/2022/10/1.jpg
19,GP065,gulai ikan paya masakan,KZGMS 1993,75.7,106,16.5,3.3,2.5,0,2,306,196,4.8,743,0,0,0,86,0,2760,0.32,0,0,0,0,ikan kerang udang,olahan/produk,https://www.glory-travel.com/wp-content/uploads/2018/11/o1AJ9qDyyJNSpZWhUgGYc3MngFqoAN6WRcGHHcyTN6eXyGCVk.jpg
20,GP066,gulai keumamah masakan,KGZMI2001,81.4,110,5.9,8.2,3.2,0,1.3,32,96,1,335,121,0.2,0.9,0,0,0,0.33,0.04,0,0,100,ikan kerang udang,olahan/produk,https://img-global.cpcdn.com/recipes/d43cbe5d1ad0490d/680x482cq70/gulai-keumamah-foto-resep-utama.jpg
21,GP067,gulai tiram masakan,KZGMI2001,73.1,132,9,7.2,7.8,0,2.9,53,134,3.7,285,133,1.1,0.7,389,0,0,0.29,0.12,0,0,0,ikan kerang udang,olahan/produk,https://img-global.cpcdn.com/recipes/09856a93968f8df1/1200x630cq70/photo.jpg
22,GP068,gurame asem manis masakan,KZGPI 1990,63.1,192,12.7,10.1,12.7,0,2.4,283,169,1.1,0,0,0,0,19,0,1440,0.1,0,0,0,0,ikan kerang udang,olahan/produk,https://d12man5gwydfvl.cloudfront.net/wp-content/uploads/2020/03/shutterstock_1561182373.jpg
23,GP069,ikan asar merah masakan,KZGMI2001,69.2,146,17.7,5.9,5.6,0,1.6,100,240,4,170,310,0.3,1.4,224,0,0,0,0,0,0,0,ikan kerang udang,olahan/produk,https://t-2.tstatic.net/medan/foto/bank/images2/Resep-Ikan-Asar-dan-Cara-Membuatnya-Hidangan-Khas-Maluku.jpg
